Instance,Min. Obj.,Mean. Obj.,St. Dev.,Cof. Var.
kroA150.tsp,26863.25,28036.89,569.5,0.02
kroA200.tsp,30459.12,31138.75,428.63,0.014
pr76.tsp,109423.86,112223.27,2172.49,0.019
kroD100.tsp,21663.89,22563.27,407.11,0.018
burma14.tsp,30.88,30.9,0.09,0.003
p654.tsp,35283.09,37086.65,1653.38,0.045
gr431.tsp,2022.81,2063.8,25.41,0.012
a280.tsp,2873.87,2935.54,51.6,0.018
u1060.tsp,244797.14,246573.4,1645.27,0.007
fl1400.tsp,21227.71,21684.05,271.25,0.013
