Instance,Min Cost,Mean Cost,Variance,CV
berlin52.tsp,7544.37,8027.49,74007.57,0.034
bier127.tsp,122148.01,126024.67,4032507.24,0.016
burma14.tsp,30.88,30.9,0.01,0.003
ch130.tsp,6290.36,6492.64,10794.12,0.016
pr76.tsp,109206.65,112721.5,3795181.56,0.017
