Instance,Min Cost,Mean Cost,Variance,CV
eil101.tsp,736.37,794.17,1470.21,0.048
burma14.tsp,31.88,36.37,4.01,0.055
kroB150.tsp,31320.34,34614.68,2664673.55,0.047
lin105.tsp,16939.44,18699.42,1001790.98,0.054
kroC100.tsp,23566.4,26227.27,2422574.07,0.059
gil262.tsp,2929.8,3081.55,5053.23,0.023
rd100.tsp,9427.33,10117.31,99921.42,0.031
ali535.tsp,2450.06,2674.3,7606.35,0.033
pr2392.tsp,461225.55,473708.01,29664352.79,0.011
u1817.tsp,67704.8,70054.4,1883531.55,0.02
