Instance,Min. Obj.,Mean. Obj.,St. Dev.,Cof. Var.
kroA150.tsp,32638.27,33480.53,619.89,0.019
kroA200.tsp,35113.92,36737.71,1080.94,0.029
pr76.tsp,135240.28,146907.73,6093.04,0.041
kroD100.tsp,25028.53,27333.33,1377.45,0.05
burma14.tsp,31.88,36.19,2.31,0.064
p654.tsp,43382.57,45665.69,1778.24,0.039
gr431.tsp,2443.61,2574.83,103.72,0.04
a280.tsp,3131.84,3309.22,136.36,0.041
u1060.tsp,285148.63,291247.17,5118.81,0.018
fl1400.tsp,26267.38,27228.31,770.23,0.028
