Instance,Min. Obj.,Mean. Obj.,St. Dev.,Cof. Var.
kroA150.tsp,27879.85,28516.18,502.37,0.018
kroA200.tsp,30889.32,31470.15,461.99,0.015
pr76.tsp,109755.12,114864.73,3295.15,0.029
kroD100.tsp,22132.31,22568.9,239.97,0.011
burma14.tsp,30.88,30.94,0.18,0.006
p654.tsp,35756.45,36887.63,900.45,0.024
gr431.tsp,2059.45,2091.21,27.88,0.013
a280.tsp,2886.68,2974.2,48.9,0.016
u1060.tsp,245294.91,248970.09,2425.23,0.01
fl1400.tsp,21160.49,21522.71,342.09,0.016
