Instance,Min Cost,Mean Cost,Variance,CV
berlin52.tsp,7619.15,8078.23,81932.73,0.035
bier127.tsp,121878.19,125895.97,4222093.54,0.016
burma14.tsp,30.88,30.93,0.01,0.004
ch130.tsp,6199.52,6490.27,14780.53,0.019
pr76.tsp,109234.62,113452.85,6912576.22,0.023
